RA,STATE,AGE5P,AGE5P_RA,INGP,IEO,ENGLP,OCCP,N
1,2,1,1,0,1,4,10,0
1,2,1,1,0,1,4,1,0
1,2,1,1,0,1,4,2,0
1,2,1,1,0,1,4,3,0
1,2,1,1,0,1,4,4,0
1,2,1,1,0,1,4,5,0
1,2,1,1,0,1,4,6,0
1,2,1,1,0,1,4,7,0
1,2,1,1,0,1,4,8,10
1,2,1,1,0,1,4,9,34
1,2,1,1,0,1,1,10,52
1,2,1,1,0,1,1,1,26
1,2,1,1,0,1,1,2,11
1,2,1,1,0,1,1,3,574
1,2,1,1,0,1,1,4,89
1,2,1,1,0,1,1,5,36
1,2,1,1,0,1,1,6,221
1,2,1,1,0,1,1,7,130
1,2,1,1,0,1,1,8,449
1,2,1,1,0,1,1,9,1543
1,2,1,1,0,1,2,10,23
1,2,1,1,0,1,2,1,0
1,2,1,1,0,1,2,2,16
1,2,1,1,0,1,2,3,92
1,2,1,1,0,1,2,4,23
1,2,1,1,0,1,2,5,18
1,2,1,1,0,1,2,6,42
1,2,1,1,0,1,2,7,36
1,2,1,1,0,1,2,8,74
1,2,1,1,0,1,2,9,586
1,2,1,1,0,1,3,10,0
1,2,1,1,0,1,3,1,0
1,2,1,1,0,1,3,2,0
1,2,1,1,0,1,3,3,7
1,2,1,1,0,1,3,4,12
1,2,1,1,0,1,3,5,0
1,2,1,1,0,1,3,6,6
1,2,1,1,0,1,3,7,5
1,2,1,1,0,1,3,8,3
1,2,1,1,0,1,3,9,123
1,2,1,1,0,2,4,10,0
1,2,1,1,0,2,4,1,0
1,2,1,1,0,2,4,2,0
1,2,1,1,0,2,4,3,5
1,2,1,1,0,2,4,4,0
1,2,1,1,0,2,4,5,0
1,2,1,1,0,2,4,6,5
1,2,1,1,0,2,4,7,0
1,2,1,1,0,2,4,8,0
1,2,1,1,0,2,4,9,43
1,2,1,1,0,2,1,10,24
1,2,1,1,0,2,1,1,22
1,2,1,1,0,2,1,2,31
1,2,1,1,0,2,1,3,722
1,2,1,1,0,2,1,4,107
1,2,1,1,0,2,1,5,46
1,2,1,1,0,2,1,6,298
1,2,1,1,0,2,1,7,153
1,2,1,1,0,2,1,8,479
1,2,1,1,0,2,1,9,1213
1,2,1,1,0,2,2,10,20
1,2,1,1,0,2,2,1,13
1,2,1,1,0,2,2,2,17
1,2,1,1,0,2,2,3,119
1,2,1,1,0,2,2,4,39
1,2,1,1,0,2,2,5,33
1,2,1,1,0,2,2,6,90
1,2,1,1,0,2,2,7,28
1,2,1,1,0,2,2,8,81
1,2,1,1,0,2,2,9,833
1,2,1,1,0,2,3,10,9
1,2,1,1,0,2,3,1,0
1,2,1,1,0,2,3,2,0
1,2,1,1,0,2,3,3,6
1,2,1,1,0,2,3,4,3
1,2,1,1,0,2,3,5,6
1,2,1,1,0,2,3,6,0
1,2,1,1,0,2,3,7,4
1,2,1,1,0,2,3,8,15
1,2,1,1,0,2,3,9,98
1,2,1,1,0,3,4,10,0
1,2,1,1,0,3,4,1,0
1,2,1,1,0,3,4,2,0
1,2,1,1,0,3,4,3,7
1,2,1,1,0,3,4,4,0
1,2,1,1,0,3,4,5,0
1,2,1,1,0,3,4,6,0
1,2,1,1,0,3,4,7,0
1,2,1,1,0,3,4,8,3
1,2,1,1,0,3,4,9,60
1,2,1,1,0,3,1,10,32
1,2,1,1,0,3,1,1,43
1,2,1,1,0,3,1,2,51
1,2,1,1,0,3,1,3,883
1,2,1,1,0,3,1,4,133
1,2,1,1,0,3,1,5,64
1,2,1,1,0,3,1,6,344
1,2,1,1,0,3,1,7,168
1,2,1,1,0,3,1,8,503
1,2,1,1,0,3,1,9,1421
1,2,1,1,0,3,2,10,19
1,2,1,1,0,3,2,1,5
1,2,1,1,0,3,2,2,35
1,2,1,1,0,3,2,3,153
1,2,1,1,0,3,2,4,45
1,2,1,1,0,3,2,5,28
1,2,1,1,0,3,2,6,111
1,2,1,1,0,3,2,7,47
1,2,1,1,0,3,2,8,117
1,2,1,1,0,3,2,9,1013
1,2,1,1,0,3,3,10,4
1,2,1,1,0,3,3,1,0
1,2,1,1,0,3,3,2,0
1,2,1,1,0,3,3,3,11
1,2,1,1,0,3,3,4,9
1,2,1,1,0,3,3,5,5
1,2,1,1,0,3,3,6,17
1,2,1,1,0,3,3,7,12
1,2,1,1,0,3,3,8,15
1,2,1,1,0,3,3,9,166
1,2,1,1,0,4,4,10,5
1,2,1,1,0,4,4,1,0
1,2,1,1,0,4,4,2,0
1,2,1,1,0,4,4,3,5
1,2,1,1,0,4,4,4,0
1,2,1,1,0,4,4,5,0
1,2,1,1,0,4,4,6,6
1,2,1,1,0,4,4,7,0
1,2,1,1,0,4,4,8,0
1,2,1,1,0,4,4,9,61
1,2,1,1,0,4,1,10,51
1,2,1,1,0,4,1,1,47
1,2,1,1,0,4,1,2,41
1,2,1,1,0,4,1,3,786
1,2,1,1,0,4,1,4,176
1,2,1,1,0,4,1,5,86
1,2,1,1,0,4,1,6,315
1,2,1,1,0,4,1,7,138
1,2,1,1,0,4,1,8,483
1,2,1,1,0,4,1,9,1302
1,2,1,1,0,4,2,10,14
1,2,1,1,0,4,2,1,21
1,2,1,1,0,4,2,2,27
1,2,1,1,0,4,2,3,164
1,2,1,1,0,4,2,4,41
1,2,1,1,0,4,2,5,37
1,2,1,1,0,4,2,6,110
1,2,1,1,0,4,2,7,31
1,2,1,1,0,4,2,8,109
1,2,1,1,0,4,2,9,980
1,2,1,1,0,4,3,10,0
1,2,1,1,0,4,3,1,0
1,2,1,1,0,4,3,2,0
1,2,1,1,0,4,3,3,15
1,2,1,1,0,4,3,4,10
1,2,1,1,0,4,3,5,0
1,2,1,1,0,4,3,6,11
1,2,1,1,0,4,3,7,5
1,2,1,1,0,4,3,8,20
1,2,1,1,0,4,3,9,130
1,2,1,1,0,5,4,10,6
1,2,1,1,0,5,4,1,0
1,2,1,1,0,5,4,2,0
1,2,1,1,0,5,4,3,4
1,2,1,1,0,5,4,4,9
1,2,1,1,0,5,4,5,0
1,2,1,1,0,5,4,6,0
1,2,1,1,0,5,4,7,0
1,2,1,1,0,5,4,8,3
1,2,1,1,0,5,4,9,65
1,2,1,1,0,5,1,10,42
1,2,1,1,0,5,1,1,37
1,2,1,1,0,5,1,2,52
1,2,1,1,0,5,1,3,867
1,2,1,1,0,5,1,4,207
1,2,1,1,0,5,1,5,87
1,2,1,1,0,5,1,6,404
1,2,1,1,0,5,1,7,162
1,2,1,1,0,5,1,8,496
1,2,1,1,0,5,1,9,1362
1,2,1,1,0,5,2,10,18
1,2,1,1,0,5,2,1,14
1,2,1,1,0,5,2,2,22
1,2,1,1,0,5,2,3,151
1,2,1,1,0,5,2,4,47
1,2,1,1,0,5,2,5,42
1,2,1,1,0,5,2,6,157
1,2,1,1,0,5,2,7,27
1,2,1,1,0,5,2,8,102
1,2,1,1,0,5,2,9,960
1,2,1,1,0,5,3,10,4
1,2,1,1,0,5,3,1,4
1,2,1,1,0,5,3,2,0
1,2,1,1,0,5,3,3,15
1,2,1,1,0,5,3,4,3
1,2,1,1,0,5,3,5,0
1,2,1,1,0,5,3,6,16
1,2,1,1,0,5,3,7,0
1,2,1,1,0,5,3,8,20
1,2,1,1,0,5,3,9,179
1,2,1,1,0,6,4,10,6
1,2,1,1,0,6,4,1,0
1,2,1,1,0,6,4,2,0
1,2,1,1,0,6,4,3,6
1,2,1,1,0,6,4,4,0
1,2,1,1,0,6,4,5,0
1,2,1,1,0,6,4,6,0
1,2,1,1,0,6,4,7,0
1,2,1,1,0,6,4,8,5
1,2,1,1,0,6,4,9,46
1,2,1,1,0,6,1,10,40
1,2,1,1,0,6,1,1,54
1,2,1,1,0,6,1,2,91
1,2,1,1,0,6,1,3,983
1,2,1,1,0,6,1,4,239
1,2,1,1,0,6,1,5,100
1,2,1,1,0,6,1,6,415
1,2,1,1,0,6,1,7,161
1,2,1,1,0,6,1,8,525
1,2,1,1,0,6,1,9,1357
1,2,1,1,0,6,2,10,12
1,2,1,1,0,6,2,1,13
1,2,1,1,0,6,2,2,25
1,2,1,1,0,6,2,3,105
1,2,1,1,0,6,2,4,51
1,2,1,1,0,6,2,5,33
1,2,1,1,0,6,2,6,126
1,2,1,1,0,6,2,7,26
1,2,1,1,0,6,2,8,102
